source_id,country,admin_level,admin_name,admin_code,city,metric,value,unit,year,source_org,report_title,source_url,source_page,note,confidence
brazil_sbcp_pesquisas_censo,Brazil,state,Roraima,RR,,plastic_surgeon_count,6,surgeons,2025,SBCP,Plastiko's 2025 Demografia da Cirurgia Plastica Brasileira,https://online.fliphtml5.com/urtuw/REVISTA_CENSO_2025_V06/,4,"SBCP Censo 2025 page 4 state-level map, number of plastic surgeons. Use as Brazil channel-density denominator, not treatment volume.",official_association_flipbook_manual_qa_state_denominator
brazil_sbcp_pesquisas_censo,Brazil,state,Amazonas,AM,,plastic_surgeon_count,31,surgeons,2025,SBCP,Plastiko's 2025 Demografia da Cirurgia Plastica Brasileira,https://online.fliphtml5.com/urtuw/REVISTA_CENSO_2025_V06/,4,"SBCP Censo 2025 page 4 state-level map, number of plastic surgeons. Use as Brazil channel-density denominator, not treatment volume.",official_association_flipbook_manual_qa_state_denominator
brazil_sbcp_pesquisas_censo,Brazil,state,Acre,AC,,plastic_surgeon_count,4,surgeons,2025,SBCP,Plastiko's 2025 Demografia da Cirurgia Plastica Brasileira,https://online.fliphtml5.com/urtuw/REVISTA_CENSO_2025_V06/,4,"SBCP Censo 2025 page 4 state-level map, number of plastic surgeons. Use as Brazil channel-density denominator, not treatment volume.",official_association_flipbook_manual_qa_state_denominator
brazil_sbcp_pesquisas_censo,Brazil,state,Rondonia,RO,,plastic_surgeon_count,27,surgeons,2025,SBCP,Plastiko's 2025 Demografia da Cirurgia Plastica Brasileira,https://online.fliphtml5.com/urtuw/REVISTA_CENSO_2025_V06/,4,"SBCP Censo 2025 page 4 state-level map, number of plastic surgeons. Use as Brazil channel-density denominator, not treatment volume.",official_association_flipbook_manual_qa_state_denominator
brazil_sbcp_pesquisas_censo,Brazil,state,Mato Grosso,MT,,plastic_surgeon_count,69,surgeons,2025,SBCP,Plastiko's 2025 Demografia da Cirurgia Plastica Brasileira,https://online.fliphtml5.com/urtuw/REVISTA_CENSO_2025_V06/,4,"SBCP Censo 2025 page 4 state-level map, number of plastic surgeons. Use as Brazil channel-density denominator, not treatment volume.",official_association_flipbook_manual_qa_state_denominator
brazil_sbcp_pesquisas_censo,Brazil,state,Para,PA,,plastic_surgeon_count,70,surgeons,2025,SBCP,Plastiko's 2025 Demografia da Cirurgia Plastica Brasileira,https://online.fliphtml5.com/urtuw/REVISTA_CENSO_2025_V06/,4,"SBCP Censo 2025 page 4 state-level map, number of plastic surgeons. Use as Brazil channel-density denominator, not treatment volume.",official_association_flipbook_manual_qa_state_denominator
brazil_sbcp_pesquisas_censo,Brazil,state,Amapa,AP,,plastic_surgeon_count,6,surgeons,2025,SBCP,Plastiko's 2025 Demografia da Cirurgia Plastica Brasileira,https://online.fliphtml5.com/urtuw/REVISTA_CENSO_2025_V06/,4,"SBCP Censo 2025 page 4 state-level map, number of plastic surgeons. Use as Brazil channel-density denominator, not treatment volume.",official_association_flipbook_manual_qa_state_denominator
brazil_sbcp_pesquisas_censo,Brazil,state,Maranhao,MA,,plastic_surgeon_count,33,surgeons,2025,SBCP,Plastiko's 2025 Demografia da Cirurgia Plastica Brasileira,https://online.fliphtml5.com/urtuw/REVISTA_CENSO_2025_V06/,4,"SBCP Censo 2025 page 4 state-level map, number of plastic surgeons. Use as Brazil channel-density denominator, not treatment volume.",official_association_flipbook_manual_qa_state_denominator
brazil_sbcp_pesquisas_censo,Brazil,state,Tocantins,TO,,plastic_surgeon_count,22,surgeons,2025,SBCP,Plastiko's 2025 Demografia da Cirurgia Plastica Brasileira,https://online.fliphtml5.com/urtuw/REVISTA_CENSO_2025_V06/,4,"SBCP Censo 2025 page 4 state-level map, number of plastic surgeons. Use as Brazil channel-density denominator, not treatment volume.",official_association_flipbook_manual_qa_state_denominator
brazil_sbcp_pesquisas_censo,Brazil,state,Goias,GO,,plastic_surgeon_count,254,surgeons,2025,SBCP,Plastiko's 2025 Demografia da Cirurgia Plastica Brasileira,https://online.fliphtml5.com/urtuw/REVISTA_CENSO_2025_V06/,4,"SBCP Censo 2025 page 4 state-level map, number of plastic surgeons. Use as Brazil channel-density denominator, not treatment volume.",official_association_flipbook_manual_qa_state_denominator
