source_id,region_group,country_or_region,source_name,source_family,authority_tier,data_role,metric_potential,source_url,source_page_title,discovered_url,link_text,year,artifact_type,status,http_status,content_type,local_path,sha256,bytes,captured_at,note
brazil_cfm_medical_demography,Latin America,Brazil,CFM medical demography and specialty data,official_professional_registry_statistics,official_professional_council,surgeon_denominator_proxy,"physicians by specialty, including plastic surgery, and state-level medical density",https://portal.cfm.org.br/,Portal Médico | Conselho Federal de Medicina.,http://www.flip3d.com.br/web/pub/cfm/,Jornal Medicina,,html_link,discovered,,,,,,2026-06-20T11:54:24+08:00,Strong denominator for provider density; not aesthetic procedure volume.
brazil_cfm_medical_demography,Latin America,Brazil,CFM medical demography and specialty data,official_professional_registry_statistics,official_professional_council,surgeon_denominator_proxy,"physicians by specialty, including plastic surgery, and state-level medical density",https://portal.cfm.org.br/,Portal Médico | Conselho Federal de Medicina.,http://www.flip3d.com.br/web/pub/cfm/index3/,Revista Medicina CFM,,html_link,discovered,,,,,,2026-06-20T11:54:24+08:00,Strong denominator for provider density; not aesthetic procedure volume.
brazil_cfm_medical_demography,Latin America,Brazil,CFM medical demography and specialty data,official_professional_registry_statistics,official_professional_council,surgeon_denominator_proxy,"physicians by specialty, including plastic surgery, and state-level medical density",https://portal.cfm.org.br/,Portal Médico | Conselho Federal de Medicina.,http://www.flip3d.com.br/web/pub/cfm/index7/?numero=12&edicao=4322,Agenda Parlamentar,,html_link,discovered,,,,,,2026-06-20T11:54:24+08:00,Strong denominator for provider density; not aesthetic procedure volume.
brazil_cfm_medical_demography,Latin America,Brazil,CFM medical demography and specialty data,official_professional_registry_statistics,official_professional_council,surgeon_denominator_proxy,"physicians by specialty, including plastic surgery, and state-level medical density",https://portal.cfm.org.br/,Portal Médico | Conselho Federal de Medicina.,https://app.powerbi.com/view?r=eyJrIjoiYThmNzdkZjgtMjg4Ny00YzFjLTg2N2EtODYwYjY0NzhlZDdmIiwidCI6ImRjMjIwMjQ0LTk5NTEtNDQ1NS1hN2Q5LWYwNWQwZTA3MzFmZCJ9,Radiografia das Escolas Médicas,,html_link,discovered,,,,,,2026-06-20T11:54:24+08:00,Strong denominator for provider density; not aesthetic procedure volume.
brazil_cfm_medical_demography,Latin America,Brazil,CFM medical demography and specialty data,official_professional_registry_statistics,official_professional_council,surgeon_denominator_proxy,"physicians by specialty, including plastic surgery, and state-level medical density",https://portal.cfm.org.br/,Portal Médico | Conselho Federal de Medicina.,https://demografia.cfm.org.br/,Demografia Médica,,html_link,discovered,,,,,,2026-06-20T11:54:24+08:00,Strong denominator for provider density; not aesthetic procedure volume.
brazil_cfm_medical_demography,Latin America,Brazil,CFM medical demography and specialty data,official_professional_registry_statistics,official_professional_council,surgeon_denominator_proxy,"physicians by specialty, including plastic surgery, and state-level medical density",https://portal.cfm.org.br/,Portal Médico | Conselho Federal de Medicina.,https://ecrm.cfm.org.br/,Credencial Médica,,html_link,discovered,,,,,,2026-06-20T11:54:24+08:00,Strong denominator for provider density; not aesthetic procedure volume.
brazil_cfm_medical_demography,Latin America,Brazil,CFM medical demography and specialty data,official_professional_registry_statistics,official_professional_council,surgeon_denominator_proxy,"physicians by specialty, including plastic surgery, and state-level medical density",https://portal.cfm.org.br/,Portal Médico | Conselho Federal de Medicina.,https://observatorio.cfm.org.br/escolasmedicas/,,,html_link,discovered,,,,,,2026-06-20T11:54:24+08:00,Strong denominator for provider density; not aesthetic procedure volume.
brazil_cfm_medical_demography,Latin America,Brazil,CFM medical demography and specialty data,official_professional_registry_statistics,official_professional_council,surgeon_denominator_proxy,"physicians by specialty, including plastic surgery, and state-level medical density",https://portal.cfm.org.br/,Portal Médico | Conselho Federal de Medicina.,https://portal.cfm.org.br/busca-por-escolas-medicas/,Busca por Escolas Médicas,,html_link,discovered,,,,,,2026-06-20T11:54:24+08:00,Strong denominator for provider density; not aesthetic procedure volume.
brazil_cfm_medical_demography,Latin America,Brazil,CFM medical demography and specialty data,official_professional_registry_statistics,official_professional_council,surgeon_denominator_proxy,"physicians by specialty, including plastic surgery, and state-level medical density",https://portal.cfm.org.br/,Portal Médico | Conselho Federal de Medicina.,https://portal.cfm.org.br/busca-por-estabelecimentos-de-saude/,Buscar por Empresas médicas,,html_link,discovered,,,,,,2026-06-20T11:54:24+08:00,Strong denominator for provider density; not aesthetic procedure volume.
brazil_cfm_medical_demography,Latin America,Brazil,CFM medical demography and specialty data,official_professional_registry_statistics,official_professional_council,surgeon_denominator_proxy,"physicians by specialty, including plastic surgery, and state-level medical density",https://portal.cfm.org.br/,Portal Médico | Conselho Federal de Medicina.,https://portal.cfm.org.br/etica-medica/codigo-1988/,Código de Ética Médica (versão de 1988),,html_link,discovered,,,,,,2026-06-20T11:54:24+08:00,Strong denominator for provider density; not aesthetic procedure volume.
