seed_record_id,company,brand,standard_product_name,search_title,search_url,official_score,final_url,status,error,fetched_title,text_chars
REC_0014,Advance Esthetic,Adonyss,Adonyss,Advance Esthetic L L C FDA Filings,https://fda.report/Company/Advance-Esthetic-L-L-C,69,https://fda.report/Company/Advance-Esthetic-L-L-C,200,,Advance Esthetic L L C FDA Filings,10984
REC_0014,Advance Esthetic,Adonyss,Adonyss,Buy Adonyss QuantumPeak: Advanced Laser Technology,https://aestheticcosmtics.com/product/adonyss-quantumlite-qpl-rf/,40,https://aestheticcosmtics.com/product/adonyss-quantumlite-qpl-rf/,200,,Buy Adonyss QuantumPeak: Advanced Laser Technology,6440
REC_0029,Alma Lasers,Alma TED,Trans-Epidermal Drug Delivery,A Single-center Study Evaluating Alma TED TM and a Peptide-based,https://almalasers.com/wp-content/uploads/2023/06/Alma-TED-Desai-White-Paper-FIN_.pdf,114,https://almalasers.com/wp-content/uploads/2023/06/Alma-TED-Desai-White-Paper-FIN_.pdf,200,,,14444
REC_0029,Alma Lasers,Alma TED,Trans-Epidermal Drug Delivery,Alma TED® | Alma Lasers - almainc.com,https://almainc.com/product/alma-ted/,86,https://almainc.com/product/alma-ted/,200,,Alma TED® | Alma Lasers - almainc.com,4532
REC_0029,Alma Lasers,Alma TED,Trans-Epidermal Drug Delivery,"Hair Today, Here Tomorrow | Alma Lasers",https://patients.almainc.com/patients/almated,86,https://patients.almainc.com/patients/almated,200,,"Hair Today, Here Tomorrow | Alma Lasers",8765
REC_0029,Alma Lasers,Alma TED,Trans-Epidermal Drug Delivery,Alma TED: Non-invasive hair stimulation technology,https://almated.medelite.ca/en/,74,https://almated.medelite.ca/en/,200,,Alma TED: Non-invasive hair stimulation technology,7878
REC_0029,Alma Lasers,Alma TED,Trans-Epidermal Drug Delivery,"Alma TED Hair Restoration Technology: The Standardized Growth Factor Advantage Over Variable-Quality PRP - Dr. Glenn M. Charles, Charles Medical Group",https://charlesmedicalgroup.com/plastic-surgery/alma-ted-hair-restoration-technology/,44,https://charlesmedicalgroup.com/plastic-surgery/alma-ted-hair-restoration-technology/,200,,"Alma TED Hair Restoration Technology: The Standardized Growth Factor Advantage Over Variable-Quality PRP - Dr. Glenn M. Charles, Charles Medical Group",14045
REC_0851,Alma Lasers,DermaClear,Hydradermabrasion System,DermaClear | Hydradermabrasion Skin Treatment Machine | Alma,https://almalasers.com/product/dermaclear/,106,https://almalasers.com/product/dermaclear/,200,,DermaClear | Hydradermabrasion Skin Treatment Machine | Alma,5666
REC_0851,Alma Lasers,DermaClear,Hydradermabrasion System,Hydradermabrasion Treatments | Alma,https://almalasers.com/treatments/hydradermabrasion/,90,https://almalasers.com/treatments/hydradermabrasion/,200,,Hydradermabrasion Treatments | Alma,3632
REC_0851,Alma Lasers,DermaClear,Hydradermabrasion System,DermaClear - Alma UK,https://almalasers.co.uk/product/dermaclear/,90,https://almalasers.co.uk/product/dermaclear/,200,,DermaClear - Alma UK,7121
REC_0851,Alma Lasers,DermaClear,Hydradermabrasion System,Alma DermaClear - | Alma® Lasers Australia,https://alma-lasers.com.au/product/dermaclear/,90,https://alma-lasers.com.au/product/dermaclear/,404,http_error,,0
REC_0851,Alma Lasers,DermaClear,Hydradermabrasion System,DermaClear - Alma HK,https://almalasers.com.hk/product/dermaclear/,90,https://almalasers.com.hk/product/dermaclear/,200,,DermaClear - Alma HK,3862
REC_0058,Alvi Prague,Autonomy / F-Series,综合美容工作站,HIFU machines,https://alvi-prague.com/smas-hifu-machines/,52,https://alvi-prague.com/smas-hifu-machines/,200,,Shop Advanced HIFU Machines at Alvi Prague | Competitive Prices,7081
REC_0058,Alvi Prague,Autonomy / F-Series,综合美容工作站,Maquina HIFU Super-Lift comprar directamente del fabricante Alvi Prague,https://alvi-prague.es/apparat-hifu,52,https://alvi-prague.es/apparat-hifu,200,,Maquina HIFU Super-Lift comprar directamente del fabricante Alvi Prague,10873
REC_0058,Alvi Prague,Autonomy / F-Series,综合美容工作站,Buy Skin Care Machines | Prices by Alvi Prague,https://alvi-prague.com/multifunctional-mashines/,52,https://alvi-prague.com/multifunctional-mashines/,200,,Buy Skin Care Machines | Prices by Alvi Prague,13061
REC_0058,Alvi Prague,Autonomy / F-Series,综合美容工作站,Beauty machines,https://alvi-prague.com/beauty-equipment/,44,https://alvi-prague.com/beauty-equipment/,200,,Buy Beauty Machines by Alvi Prague at Great Prices,31517
REC_0058,Alvi Prague,Autonomy / F-Series,综合美容工作站,Alvi Prague,https://alvi-prague.ae/alvi-prague-en-gb/,44,https://alvi-prague.ae/alvi-prague-en-gb/,200,,Alvi Prague,15715
REC_0195,Alvi Prague,DL-7000 Ultra Pulse,半导体脱毛激光,Laser diodowy do depilacji UltraPuls DL-7000 kupić w Polsce,https://alvi-prague.pl/laser-diodowy-ultra-pulse-dl-7000,92,https://alvi-prague.pl/laser-diodowy-ultra-pulse-dl-7000,200,,Laser diodowy do depilacji UltraPuls DL-7000 kupić w Polsce,9342
REC_0195,Alvi Prague,DL-7000 Ultra Pulse,半导体脱毛激光,Diodové lasery : Diodový laser UltraPuls DL-7000 red koupit v České republice - cena od výrobce,https://alvi-prague.cz/diodovy-laser-dl-7000-red,76,https://alvi-prague.cz/diodovy-laser-dl-7000-red,200,,Diodové lasery : Diodový laser UltraPuls DL-7000 red koupit v České republice - cena od výrobce,12284
REC_0195,Alvi Prague,DL-7000 Ultra Pulse,半导体脱毛激光,Maquina laser de diodo UltraPuls DL-7000 rojo comprar directamente del fabricante Alvi Prague,https://alvi-prague.es/diodnyj-lazer-dl-7000-rojo,76,https://alvi-prague.es/diodnyj-lazer-dl-7000-rojo,200,,Maquina laser de diodo UltraPuls DL-7000 rojo comprar directamente del fabricante Alvi Prague,13602
REC_0195,Alvi Prague,DL-7000 Ultra Pulse,半导体脱毛激光,Diodové lasery : DL-7000 UltraPuls Smart – profesionální diodový laser pro bezpečnou a efektivní epilaci,https://alvi-prague.cz/diodovy-laser-alvi-dl-7000,76,https://alvi-prague.cz/diodovy-laser-alvi-dl-7000,200,,Diodové lasery : DL-7000 UltraPuls Smart – profesionální diodový laser pro bezpečnou a efektivní epilaci,13781
