confirm_id,group,group_instruction,priority,gap_score,seed_record_id,company,brand,original_product_name,track,form,technology,current_problem,lead_url,lead_domain,recommended_action,suggested_user_reply_options,korea_p1,korea_status
NEXT-001,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P0,104,TOPLINE_BTL_EMTONE_20260530,BTL,EMTONE,RF + Mechanical Cellulite Treatment,EBD,Radiofrequency,Radiofrequency + Targeted Pressure Energy,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；缺已核差异化/规格点；重点公司/重点产品,,,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-002,主流 HA 填充剂,通常是核心产品线；请确认是否补入官方适应证/监管，还是并入既有大品牌家族。,P0,98,TOPLINE_ALLERGAN_JUVEDERM_ULTRA_PLUS_XC_20260530,Allergan,Juvéderm Ultra Plus XC,HA Filler for Facial Wrinkles and Folds,Injectables,Dermal Filler,Hyaluronic Acid Dermal Filler,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；缺已核差异化/规格点；重点公司/重点产品；已有线索但未能直接落库,https://www.allerganaesthetics.com.au/,allerganaesthetics.com.au,Review A/B spec candidates and map useful rows to product/family; discard weak C rows.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-003,主流 HA 填充剂,通常是核心产品线；请确认是否补入官方适应证/监管，还是并入既有大品牌家族。,P0,98,TOPLINE_ALLERGAN_JUVEDERM_ULTRA_XC_20260530,Allergan,Juvéderm Ultra XC,HA Filler for Lip Augmentation,Injectables,Dermal Filler,Hyaluronic Acid Dermal Filler,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；缺已核差异化/规格点；重点公司/重点产品；已有线索但未能直接落库,https://www.allerganaesthetics.com.au/,allerganaesthetics.com.au,Review A/B spec candidates and map useful rows to product/family; discard weak C rows.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-004,主流 HA 填充剂,通常是核心产品线；请确认是否补入官方适应证/监管，还是并入既有大品牌家族。,P0,98,TOPLINE_ALLERGAN_JUVEDERM_VOLBELLA_20260530,Allergan,Juvéderm Volbella XC,HA Filler for Lips and Undereye,Injectables,Dermal Filler,Hyaluronic Acid Dermal Filler,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；缺已核差异化/规格点；重点公司/重点产品；已有线索但未能直接落库,http://juvederm.com/,juvederm.com,Review A/B spec candidates and map useful rows to product/family; discard weak C rows.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-005,主流 HA 填充剂,通常是核心产品线；请确认是否补入官方适应证/监管，还是并入既有大品牌家族。,P0,98,TOPLINE_ALLERGAN_JUVEDERM_VOLLURE_20260530,Allergan,Juvéderm Vollure XC,HA Filler for Smile Lines,Injectables,Dermal Filler,Hyaluronic Acid Dermal Filler,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；缺已核差异化/规格点；重点公司/重点产品；已有线索但未能直接落库,http://juvederm.com/,juvederm.com,Review A/B spec candidates and map useful rows to product/family; discard weak C rows.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-006,手术/脂肪移植/耗材,确认是否属于医美上游核心器械耗材；通用外科或弱线索可排除。,P0,98,TOPLINE_ALLERGAN_REVOLVE_20260530,Allergan,REVOLVE,REVOLVE Advanced Adipose System,Surgical,Liposuction,Adipose Processing,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；缺已核差异化/规格点；重点公司/重点产品；已有线索但未能直接落库,https://www.allerganaesthetics.com/,allerganaesthetics.com,Review A/B spec candidates and map useful rows to product/family; discard weak C rows.,确认保留并补官方适应证/监管；并入现有产品/作为 SKU 或配件；排除-非医美/非上游/弱线索；先查证,,
NEXT-007,主流 HA 填充剂,通常是核心产品线；请确认是否补入官方适应证/监管，还是并入既有大品牌家族。,P0,98,TOPLINE_GALDERMA_RESTYLANE_DEFYNE_20260530,Galderma,Restylane Defyne,HA Filler for Deep Facial Folds,Injectables,Dermal Filler,Hyaluronic Acid Dermal Filler,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；缺已核差异化/规格点；重点公司/重点产品；已有线索但未能直接落库,https://restylaneusa.com/,restylaneusa.com,Review A/B spec candidates and map useful rows to product/family; discard weak C rows.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-008,主流 HA 填充剂,通常是核心产品线；请确认是否补入官方适应证/监管，还是并入既有大品牌家族。,P0,98,TOPLINE_GALDERMA_RESTYLANE_KYSSE_20260530,Galderma,Restylane Kysse,HA Filler for Lips,Injectables,Dermal Filler,Hyaluronic Acid Dermal Filler,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；缺已核差异化/规格点；重点公司/重点产品；已有线索但未能直接落库,https://www.galderma.com/us/sites/default/files/2022-06/Restylane_Kysse_e-IFU_US.pdf,galderma.com,Review fuzzy official product/catalog/IFU URL and attach it to product/family.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-009,主流 HA 填充剂,通常是核心产品线；请确认是否补入官方适应证/监管，还是并入既有大品牌家族。,P0,98,TOPLINE_GALDERMA_RESTYLANE_LYFT_20260530,Galderma,Restylane Lyft,HA Filler for Cheeks and Hands,Injectables,Dermal Filler,Hyaluronic Acid Dermal Filler,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；缺已核差异化/规格点；重点公司/重点产品；已有线索但未能直接落库,https://www.restylaneusa.com/docs/Restylane-Lyft-IFU,restylaneusa.com,Review fuzzy official product/catalog/IFU URL and attach it to product/family.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-010,主流 HA 填充剂,通常是核心产品线；请确认是否补入官方适应证/监管，还是并入既有大品牌家族。,P0,98,TOPLINE_GALDERMA_RESTYLANE_REFYNE_20260530,Galderma,Restylane Refyne,HA Filler for Dynamic Facial Folds,Injectables,Dermal Filler,Hyaluronic Acid Dermal Filler,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；缺已核差异化/规格点；重点公司/重点产品；已有线索但未能直接落库,https://www.restylaneusa.com/product/restylane-refyne,restylaneusa.com,Review fuzzy official product/catalog/IFU URL and attach it to product/family.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
